text,label
"製品が動作しません。どうすればいいですか？","技術的な問題"
"この製品の保証期間はどのくらいですか？","製品に関する質問"
"注文した商品がまだ届いていません。","配送に関する問題"
"返品手続きを教えてください。","返品・交換"
"製品の使用方法がわかりません。詳しい説明はありますか？","製品使用方法"
"最新の製品カタログを送ってもらえますか？","情報請求"
"このアクセサリは製品と互換性がありますか？","互換性に関する質問"
"割引キャンペーンはいつまでですか？","キャンペーン情報"
"オンラインでの注文方法を教えてください。","注文方法"
"会員登録ができません。どうすればいいですか？","アカウント関連"
"製品の色の選択肢はありますか？","製品情報"
"店舗の営業時間を教えてください。","店舗情報"
"会員特典には何が含まれますか？","会員特典"
"この製品には何年保証がついていますか？","保証期間"
"修理にはどれくらい時間がかかりますか？","修理サービス"
"配送日を指定することはできますか？","配送オプション"
"セールの情報を教えてください。","セール情報"
"製品のサイズについて詳しく教えてください。","製品仕様"
"注文後のキャンセルは可能ですか？","注文キャンセル"
"製品に不具合があった場合はどうすればいいですか？","不具合対応"
